"","PAname","x","y"
"1180","Tierra de Campiñas steppes",-5,41
"1181","El Escorial-San Martín de Valdeiglesias",-4.25,40.5
"1182","Rivers Cabriel and Júcar canyons",-1.35,39.45
"1183","Toledo mountains-Cabañeros",-4.25,39.5
"1184","Alcudia valley and mountain range",-4.65,38.55
"1185","Madrona and Andújar mountain ranges",-3.85,38.45
"1186","Cazorla and Segura mountain ranges",-2.83,38.17
"1187","Sierra Nevada mountain range",-3.25,37
"1188","Mountain ranges south of Jaén",-3.75,37.62
"1189","Guadalquivir marshes",-6.25,37
"1190","San Pedro mountain range",-6.85,39.45
"1191","Aladağlar",35.35,37.95
"1192","Amanos Mountains",36.39,36.89
"1193","Datça and Bozburun Peninsula",28.11,36.96
"1194","Geyik Mountains",32.25,37
"1195","Southern Euphrates Valley and Birecik Plains",38,37.25
"1196","Boz Mountains",28,38.42
"1197","Ceylanpınar",39.75,37
"1198","Mardin Threshold",41.15,37.45
"1199","Sündiken Mountains",31.25,40
"1200","Région Fouchal - Matarka",-2.25,33.5
"1201","Msseyed",-10.35,28.25
"1202","Oued Mird",-5.68,30.39
"1203","Cyrenaican Peninsula",21.56,32.06
"1204","Chaîne du Dahra",0.75,36.17
"1205","Djebel Aissa",-0.25,32.75
"1206","El Kala - Tarf",8.15,36.55
"1207","Nefhusa",12.59,32.12
"1208","Jabal al Akhdar",21.17,32.42
"1209","Chott Ech Chergui",0.5,34.25
"1210","Aures - Chelia",6.38,35.12
"1211","Djebel Amour",1.75,33.75
"1212","Hisma Basin - Rum",35.5,29.5
"1213","Wad Lakhdar",-6.5,32
"1214","Wulianfeng",103.81,28.19
"1215","Baishui Jiang Nature Reserve",104.65,32.95
"1216","Ganligahai-Zecha Nature Reserve",102.5,34.25
"1217","Huang He Shouqu Nature Reserve",101.75,33.75
"1218","Gongbo Nature Reserve",93.88,29.56
"1219","Yarlung Zangbo Daxiagu Nature Reserve",95.4,29.65
"1220","Zayü",97.17,28.83
"1221","Yanboyezeshan Nature Reserve",101.5,32.75
"1222","Gonggaishan Nature Reserve (Kangding)",102,29.75
"1223","Pingwu Panda habitat",104.25,32.5
"1224","Sanjiangyuan Nature Reserve",97.2,33.47
"1225","Gonjo",98.5,30.75
"1226","Min Shan mountains",104,33.75
"1227","Unai",-47.19,-16.19
"1228","Sochinsky National Park",39.88,43.75
"1229","Eastern Black Sea Mountains [incl Karcal Mountain*",41.17,41.02
"1230","Maku and Iran west border",44.5,38.75
"1231","Arasbaran Protected Area",47,38.92
"1232","Adjara-Imereti Ridge",43,41.75
"1233","Svaneti",42.75,43
"1234","Iori Region",45.83,41.42
"1235","Alborz-e Markazi Protected Area",51.61,36.25
"1236","Gissar State Nature Reserve",67.62,38.88
"1237","Eastern Alai",72.75,39.5
"1238","Small Pamir",74.11,37.04
"1239","Arys-Karaktau State Reserved Zone",68.18,42.39
"1240","Yabassi",10.5,4.5
"1241","Lofa-Gola-Mano Complex",-10.61,7.68
"1242","Cestos - Senkwen",-9.15,5.55
"1243","Grebo",-7.5,5.5
"1244","Fazao-Malfakassa National Park",0.88,8.88
"1245","Cestos Gbi",-8.65,6.05
"1246","Krahn Bassa South",-8.95,5.85
"1247","Kpelle Forest",-10.15,7.45
"1248","Dibang Wildlife Sanctuary",96,29
"1249","Mechuka - Monigong - Jorgging",94.25,28.75
"1250","Area between Qinghai Hu and A'nyêmaqên",99.91,36.16
"1251","Eastern Middle Atlas Mountains",-4,33.5
"1252","Mount Hilong-hilong",125.95,9.15
"1253","Mount Kaluayan - Mount Kinabalian Complex",125.25,8.35
"1254","Malampaya Sound Protected Landscape and Seascape",119.42,10.92
"1255","North Eastern Cagayan Protected Landscape and Sea*",122.05,18.15
"1256","Northern Sierra Madre Natural Park",122.25,17.25
"1257","Liguasan marsh",124.58,7.08
"1258","Balbalasang-Balbalan National Park and proposed e*",121.19,17.81
"1259","Amatole - Katberg Mountain",27.11,-32.54
"1260","iSimangaliso Wetland Park",32.58,-27.67
"1261","South Georgia - mainland, islands, islets and sta*",-37.02,-54.34
"1262","Anhui Chinese Alligator National Nature Reserve",118.8,30.84
"1263","Anindilyakwa",136.5,-14
"1264","Arroyo El Mimbre area",-101.25,25.88
"1265","Between Balsa Puerto and Moyabamba",-77,-6
"1266","Biak Island",135.85,-0.95
"1267","Bintang Range",100.95,5.35
"1268","Bolkar Mountains",34.39,37.25
"1269","Carpish",-76,-9.5
"1270","Cayambe-Coca Ecological Reserve and surrounding a*",-77.85,0.05
"1271","Cedarberg - Koue Bokkeveld complex",19.19,-32.42
"1272","Ciénaga de Zapata",-81.5,22.42
"1273","Coquimbo desert scrub",-71.25,-30.25
"1274","Zona Protectora Macizo Montañoso del Turimiquire",-64,10
"1275","Cordillera del Cóndor",-77.98,-3.9
"1276","Cosolapa, Acatlan, Tepexic",-97,18.5
"1277","Cuenca Río Nanay",-73.83,-3.92
"1278","Daraina - Loky - Manambato NPA",49.58,-13.08
"1279","Dayao Shan Nature Reserve",110,24
"1280","Dunas e Veredas do Baixo Médio São Francisco",-43,-10.5
"1281","El Cielo",-99.5,23
"1282","El Colorado",-59.5,-26.5
"1283","Selva Zoque I",-94.45,17
"1284","Farallones de Cali Natural National Park",-77,3.5
"1285","Guadalcanal Watersheds",160.15,-9.55
"1286","Htamanthi",95.5,25.5
"1287","Huasco-Totoral coastal hills",-71,-28
"1288","Itombwe Mountains",28.32,-3.39
"1289","Kelabit Highlands",115.5,3.5
"1290","Kokolopori",23,0.25
"1291","Lendu Plateau",30.65,2.05
"1292","Lower Congo River right bank",16.5,-1.17
"1293","Mahavavy - Kinkony wetlands NPA",46,-16
"1294","Manusela",129.5,-3
"1295","Mar Muerto - Pereyra",-94.5,16.38
"1296","Marungu highlands",29.75,-7.5
"1297","Meseta de Somuncura Provincial Natural Protected *",-66.86,-41.44
"1298","Mikea Protected Area",43.5,-22.25
"1299","Cuchumatanes",-91.5,15.75
"1300","Morowali",121.5,-1.5
"1301","Mountains of Southeast Vancouver Island",-124.47,48.92
"1302","Muli (Ma'an Shan)",101.05,28.35
"1303","Namdapha - Kamlang",96.5,27.5
"1304","Ankeniheny Zahamena Corridor NPA (CAZ)",48.75,-18.25
"1305","Tsaratanana-Marojejy Corridor NPA (COMATSA)",49.25,-14
"1306","Santiago pampas",-54.95,-29.15
"1307","Tsimanampetsotsa National Park and extension",44,-24.5
"1308","Parque Nacional Sumaco-Napo Galeras",-77.5,-0.5
"1309","North ""Quebradas"" and grasslands",-55.69,-31.31
"1310","Río Abiseo National Park buffer zone",-77.25,-7.75
"1311","Serranía de los Yariguíes",-73.5,6.75
"1312","Lake Sevan and environs",45.15,40.45
"1313","Sierpe Wetlands and Osa Peninsula",-83.55,8.65
"1314","Sierra de Arteaga",-100.33,25.33
"1315","Sierra de Juárez",-96.55,17.65
"1316","Sierra de las Minas - Motagua",-89.75,15
"1317","Sierra de Miahuatlán",-96.5,16
"1318","Sierra de San Pedro Mártir",-115.33,30.75
"1319","Sierra Gorda de Guanajuato",-100,21.5
"1320","Sierra Nevada de Santa Marta National Natural Par*",-73.75,10.89
"1321","Sierra Norte de Oaxaca II",-96,17.25
"1322","Tchabal-Mbabo",12.17,7.33
"1323","Telefomin",141.5,-5
"1324","Upper Vacacai pampas",-53.92,-30.33
"1325","Valle de Tehuacán-Cuicatlán",-97.25,18.25
"1326","Waterberg System",28.07,-24.3
"1327","Wolkberg Forest Belt",29.85,-24.05
"1328","Yungas Superiores de Apolobamba",-68.85,-15.05
"1329","Jowhar - Warshiikh",46,2.5
"1330","Raso da Catarina",-38.65,-10.05
"1331","Chapada do Araripe",-39.35,-7.55
"1332","Waigeo Utara / Timur",130.75,-0.25
"1333","Poyang Hu wetlands",116.32,29.04
"1334","Ciénaga Grande, Isla de Salamanca and Sabana Gran",-74.5,11
"1335","Sudd (Bahr-el-Jebel system)",30.66,8.09
"1336","May Hka Area",98.5,26.75
"1337","Pulau Nias",97.45,1.15
"1338","Reserva Comunal El Sira",-74.45,-9.82
"1339","Reserva Forestal Imataca",-61.15,7.61
"1340","Njesi plateau",35.08,-12.58
"1341","Central Titiwangsa Range",101.46,4.39
"1342","Ramis y Arapa (Lago Titicaca, sector Peruano)",-69.69,-15.69
"1343","Lago Titicaca (Sector Boliviano)",-69,-16.25
"1344","Tharthar Lake and Al-Dhebaeji Fields",43.35,34.05
"1345","Sperrgebiet",15.9,-27.51
"1346","Chad Basin National Park: Chingurmi - Duguma Sect*",13.81,13.03
"1347","Pradera de Tokio",-100.75,24.75
"1348","Rio Tacutu",-60.43,3.81
"1349","Pompeu",-45,-19
"1350","Caruachi",-63,7.25
"1351","Abra Patricia - Alto Mayo",-77.5,-5.75
"1352","Bosques Secos del Valle del Río Chicamocha",-73.05,6.65
